,Kanchanaburi,Kanchanaburi,Kanchanaburi,Kanchanaburi
2016-03-08 22:00:00,30.8,275,15,35.7
2016-03-09 01:00:00,29.2,255,13,30.5
2016-03-09 04:00:00,27.3,260,14,31.03333333333333
2016-03-09 07:00:00,26.7,260,11,30.366666666666664
2016-03-09 10:00:00,33.5,245,9,26.066666666666663
2016-03-09 13:00:00,38.3,250,13,25.866666666666664
2016-03-09 16:00:00,40.6,255,11,25.066666666666663
2016-03-09 19:00:00,34.4,245,17,35.266666666666666
2016-03-09 22:00:00,31.6,260,14,38.56666666666666
2016-03-10 01:00:00,28.4,265,16,35.45
2016-03-10 04:00:00,25.8,270,18,36.73333333333333
2016-03-10 07:00:00,24.8,280,14,37.3
2016-03-10 10:00:00,32.4,265,8,27.433333333333334
2016-03-10 13:00:00,38.5,220,8,24.700000000000003
2016-03-10 16:00:00,39.8,200,5,24.46666666666667
2016-03-10 19:00:00,32.5,280,15,32.2
2016-03-10 22:00:00,30.1,245,6,30.2
2016-03-11 01:00:00,27.8,180,3,31.899999999999995
2016-03-11 04:00:00,26.4,165,7,32.13333333333333
2016-03-11 07:00:00,26.4,165,11,32.2
2016-03-11 10:00:00,33.0,145,15,32.2
2016-03-11 13:00:00,38.5,150,12,32.0
2016-03-11 16:00:00,39.6,145,12,32.0
2016-03-11 19:00:00,32.2,210,12,32.233333333333334
2016-03-11 22:00:00,29.6,170,21,32.2
2016-03-12 01:00:00,28.7,215,24,32.2
2016-03-12 04:00:00,27.6,230,20,32.1
2016-03-12 07:00:00,27.6,220,19,32.2
2016-03-12 10:00:00,33.0,205,15,32.13333333333333
2016-03-12 13:00:00,36.8,195,15,31.933333333333334
2016-03-12 16:00:00,38.3,175,17,23.0
2016-03-12 19:00:00,31.8,210,25,23.633333333333336
2016-03-12 22:00:00,30.3,245,19,24.066666666666663
2016-03-13 01:00:00,29.1,265,19,24.95
2016-03-13 04:00:00,27.4,255,20,24.0
2016-03-13 07:00:00,26.7,245,17,23.600000000000005
2016-03-13 10:00:00,32.6,230,13,21.133333333333336
2016-03-13 13:00:00,37.9,235,10,18.83333333333333
2016-03-13 16:00:00,39.6,210,7,17.5
2016-03-13 19:00:00,32.7,225,18,22.83333333333333
2016-03-13 22:00:00,30.6,235,16,24.933333333333337
2016-03-14 01:00:00,28.8,265,12,29.6
2016-03-14 04:00:00,26.9,240,10,32.733333333333334
2016-03-14 07:00:00,26.3,190,7,29.2
2016-03-14 10:00:00,33.3,170,7,21.433333333333334
2016-03-14 13:00:00,38.4,145,5,16.35
2016-03-14 16:00:00,39.5,140,5,19.03333333333333
2016-03-14 19:00:00,32.4,295,14,23.8
2016-03-14 22:00:00,31.1,210,8,29.7
2016-03-15 01:00:00,29.3,220,12,29.266666666666666
2016-03-15 04:00:00,27.2,205,11,29.73333333333333
2016-03-15 07:00:00,26.8,230,16,28.46666666666667
2016-03-15 10:00:00,34.1,215,15,23.8
2016-03-15 13:00:00,38.6,215,14,19.86666666666667
2016-03-15 16:00:00,40.4,190,12,21.433333333333334
2016-03-15 19:00:00,32.5,210,22,27.33333333333333
2016-03-15 22:00:00,31.3,235,14,39.7
2016-03-16 01:00:00,28.5,255,18,43.2
2016-03-16 04:00:00,25.6,245,22,33.599999999999994
2016-03-16 07:00:00,24.8,220,24,35.46666666666667
2016-03-16 10:00:00,32.4,215,22,26.46666666666667
2016-03-16 13:00:00,38.2,240,15,22.6
2016-03-16 16:00:00,40.4,230,12,22.83333333333333
2016-03-16 19:00:00,33.2,215,20,32.63333333333333
2016-03-16 22:00:00,31.1,220,12,38.16666666666666
2016-03-17 01:00:00,28.3,195,19,37.266666666666666
2016-03-17 04:00:00,26.2,200,21,29.0
2016-03-17 07:00:00,24.8,195,20,35.4
2016-03-17 10:00:00,32.4,195,21,26.866666666666664
2016-03-17 13:00:00,38.2,195,14,22.3
2016-03-17 16:00:00,40.3,180,8,21.366666666666664
2016-03-17 19:00:00,32.4,280,11,28.566666666666663
2016-03-17 22:00:00,30.3,205,9,34.46666666666667
2016-03-18 01:00:00,28.6,250,8,35.56666666666667
2016-03-18 04:00:00,26.8,230,9,32.166666666666664
2016-03-18 07:00:00,26.3,240,12,34.16666666666667
2016-03-18 10:00:00,34.0,225,11,25.9
2016-03-18 13:00:00,39.6,235,10,25.53333333333333
2016-03-18 16:00:00,41.0,220,10,25.399999999999995
2016-03-18 19:00:00,33.2,220,19,30.83333333333333
2016-03-18 22:00:00,31.7,215,17,33.56666666666667
2016-03-19 01:00:00,29.7,240,14,42.46666666666667
2016-03-19 04:00:00,27.2,240,13,38.266666666666666
2016-03-19 07:00:00,26.4,230,18,39.66666666666666
2016-03-19 10:00:00,33.6,235,15,39.03333333333333
2016-03-19 13:00:00,39.2,240,12,38.76666666666667
2016-03-19 16:00:00,41.3,250,9,36.46666666666667
2016-03-19 19:00:00,34.1,250,15,39.9
2016-03-19 22:00:00,31.7,235,12,42.4
2016-03-20 01:00:00,30.1,205,14,41.3
2016-03-20 04:00:00,28.5,215,16,38.16666666666666
2016-03-20 07:00:00,27.9,215,15,36.2
2016-03-20 10:00:00,34.2,225,12,27.433333333333334
2016-03-20 13:00:00,39.9,230,12,26.766666666666666
2016-03-20 16:00:00,41.4,210,9,25.933333333333337
2016-03-20 19:00:00,32.9,225,16,33.766666666666666
2016-03-20 22:00:00,31.9,225,14,37.7
2016-03-21 01:00:00,29.5,225,12,46.43333333333334
2016-03-21 04:00:00,27.4,250,14,37.96666666666667
2016-03-21 07:00:00,26.8,265,17,36.43333333333334
2016-03-21 10:00:00,33.7,260,17,29.96666666666667
2016-03-21 13:00:00,39.1,260,15,23.53333333333333
2016-03-21 16:00:00,41.3,255,12,25.2
2016-03-21 19:00:00,34.3,235,19,35.36666666666667
2016-03-21 22:00:00,32.3,260,13,101.26666666666668
2016-03-22 01:00:00,29.2,260,9,78.60000000000001
2016-03-22 04:00:00,26.7,250,13,52.2
2016-03-22 07:00:00,25.4,270,12,47.2
2016-03-22 10:00:00,33.8,290,11,42.93333333333334
2016-03-22 13:00:00,39.8,265,10,33.46666666666666
2016-03-22 16:00:00,41.5,260,11,39.266666666666666
2016-03-22 19:00:00,34.1,235,19,45.43333333333334
2016-03-22 22:00:00,31.8,265,14,63.26666666666667
2016-03-23 01:00:00,29.3,270,15,63.66666666666666
2016-03-23 04:00:00,26.1,260,17,59.86666666666667
2016-03-23 07:00:00,24.7,245,18,54.26666666666667
2016-03-23 10:00:00,33.5,250,18,45.53333333333333
2016-03-23 13:00:00,38.6,265,17,37.56666666666667
2016-03-23 16:00:00,40.7,265,18,35.9
2016-03-23 19:00:00,35.1,275,15,49.76666666666667
2016-03-23 22:00:00,31.6,250,8,57.633333333333326
2016-03-24 01:00:00,28.4,225,12,57.53333333333333
2016-03-24 04:00:00,25.8,235,12,60.86666666666667
2016-03-24 07:00:00,24.7,245,8,71.16666666666667
2016-03-24 10:00:00,33.3,245,7,56.1
2016-03-24 13:00:00,38.8,275,12,46.333333333333336
2016-03-24 16:00:00,40.6,275,10,40.96666666666667
2016-03-24 19:00:00,34.4,295,7,44.46666666666667
2016-03-24 22:00:00,30.3,225,9,46.43333333333334
2016-03-25 01:00:00,28.3,175,13,46.43333333333334
2016-03-25 04:00:00,26.4,165,17,40.46666666666667
2016-03-25 07:00:00,26.9,170,17,36.7
2016-03-25 10:00:00,33.3,155,15,33.233333333333334
2016-03-25 13:00:00,38.7,135,18,33.13333333333333
2016-03-25 16:00:00,38.7,130,20,38.06666666666667
2016-03-25 19:00:00,31.3,130,21,48.96666666666666
2016-03-25 22:00:00,29.2,145,25,47.1
2016-03-26 01:00:00,27.6,160,27,40.86666666666667
2016-03-26 04:00:00,26.3,155,20,34.86666666666667
2016-03-26 07:00:00,26.4,170,12,40.06666666666667
2016-03-26 10:00:00,31.3,135,9,37.333333333333336
2016-03-26 13:00:00,33.9,105,6,32.96666666666667
2016-03-26 16:00:00,35.1,110,10,32.53333333333333
2016-03-26 19:00:00,32.3,155,11,39.66666666666666
2016-03-26 22:00:00,30.1,125,13,33.43333333333333
2016-03-27 01:00:00,29.0,130,17,34.06666666666667
2016-03-27 04:00:00,27.7,115,18,34.5
2016-03-27 07:00:00,27.4,125,16,38.36666666666667
2016-03-27 10:00:00,32.9,125,17,42.2
2016-03-27 13:00:00,35.0,105,15,37.23333333333333
2016-03-27 16:00:00,36.2,110,15,39.13333333333333
2016-03-27 19:00:00,32.6,105,14,46.7
2016-03-27 22:00:00,29.5,100,17,44.63333333333333
2016-03-28 01:00:00,28.5,100,12,42.3
2016-03-28 04:00:00,27.6,100,14,53.86666666666667
2016-03-28 07:00:00,28.1,115,13,63.36666666666667
2016-03-28 10:00:00,32.1,110,17,59.43333333333334
2016-03-28 13:00:00,32.8,95,15,55.8
2016-03-28 16:00:00,34.6,100,17,49.5
2016-03-28 19:00:00,31.1,115,14,56.66666666666666
2016-03-28 22:00:00,30.2,105,17,37.9
2016-03-29 01:00:00,28.5,115,16,41.16666666666666
2016-03-29 04:00:00,27.8,125,16,42.5
2016-03-29 07:00:00,27.5,150,14,44.46666666666667
2016-03-29 10:00:00,32.0,145,17,37.266666666666666
2016-03-29 13:00:00,33.8,130,15,41.3
2016-03-29 16:00:00,33.7,145,15,43.03333333333333
2016-03-29 19:00:00,30.9,170,20,43.56666666666666
2016-03-29 22:00:00,29.5,185,20,35.4
2016-03-30 01:00:00,28.5,210,19,36.23333333333333
2016-03-30 04:00:00,28.0,250,13,43.63333333333333
2016-03-30 07:00:00,28.2,190,8,47.833333333333336
2016-03-30 10:00:00,32.0,185,8,39.36666666666667
2016-03-30 13:00:00,35.6,140,7,35.5
2016-03-30 16:00:00,33.5,135,8,38.26666666666667
2016-03-30 19:00:00,31.4,160,11,48.4
2016-03-30 22:00:00,30.3,145,8,44.66666666666666
2016-03-31 01:00:00,29.1,135,10,38.0
2016-03-31 04:00:00,28.3,150,13,45.06666666666666
2016-03-31 07:00:00,28.3,170,11,47.5
2016-03-31 10:00:00,32.4,185,10,37.86666666666667
2016-03-31 13:00:00,34.7,165,7,32.86666666666667
2016-03-31 16:00:00,34.2,170,10,34.73333333333334
2016-03-31 19:00:00,31.3,180,15,42.53333333333333
2016-03-31 22:00:00,30.0,195,14,39.66666666666666
2016-04-01 01:00:00,28.7,190,23,33.93333333333333
2016-04-01 04:00:00,27.6,190,24,33.93333333333333
2016-04-01 07:00:00,27.6,195,21,34.86666666666667
2016-04-01 10:00:00,32.2,200,18,31.399999999999995
2016-04-01 13:00:00,36.5,210,9,37.5
2016-04-01 16:00:00,37.2,175,8,39.86666666666667
2016-04-01 19:00:00,32.7,205,11,46.8
2016-04-01 22:00:00,29.7,195,10,34.9
2016-04-02 01:00:00,28.4,165,11,30.7
2016-04-02 04:00:00,27.2,150,12,29.03333333333333
2016-04-02 07:00:00,27.5,165,13,33.53333333333334
2016-04-02 10:00:00,31.7,170,15,32.56666666666666
2016-04-02 13:00:00,37.0,195,9,28.53333333333333
2016-04-02 16:00:00,38.4,170,13,27.23333333333333
2016-04-02 19:00:00,32.0,190,6,29.933333333333334
2016-04-02 22:00:00,29.9,180,15,28.433333333333334
2016-04-03 01:00:00,29.2,205,18,23.53333333333333
2016-04-03 04:00:00,28.1,205,18,25.566666666666663
2016-04-03 07:00:00,28.1,215,15,31.46666666666667
2016-04-03 10:00:00,33.3,210,10,27.2
2016-04-03 13:00:00,37.2,190,9,22.399999999999995
2016-04-03 16:00:00,38.6,175,10,28.03333333333333
2016-04-03 19:00:00,33.2,265,6,35.666666666666664
2016-04-03 22:00:00,30.9,215,8,33.46666666666667
2016-04-04 01:00:00,29.8,210,15,28.399999999999995
2016-04-04 04:00:00,28.6,215,17,26.266666666666666
2016-04-04 07:00:00,28.5,235,11,27.4
2016-04-04 10:00:00,34.1,250,9,23.6
2016-04-04 13:00:00,37.5,230,6,18.1
2016-04-04 16:00:00,38.4,225,9,24.7
2016-04-04 19:00:00,34.3,215,17,28.5
2016-04-04 22:00:00,30.9,195,17,31.5
2016-04-05 01:00:00,29.5,205,18,29.8
2016-04-05 04:00:00,28.3,215,17,31.7
2016-04-05 07:00:00,28.2,280,20,36.13333333333333
2016-04-05 10:00:00,33.8,275,13,26.866666666666664
2016-04-05 13:00:00,37.3,250,9,19.666666666666668
2016-04-05 16:00:00,39.3,235,10,22.8
2016-04-05 19:00:00,35.1,215,11,34.56666666666667
2016-04-05 22:00:00,32.2,220,16,31.0
2016-04-06 01:00:00,30.5,255,12,31.933333333333334
2016-04-06 04:00:00,28.6,245,12,34.06666666666667
2016-04-06 07:00:00,27.2,240,15,39.46666666666667
2016-04-06 10:00:00,33.7,245,16,35.766666666666666
2016-04-06 13:00:00,38.8,275,17,28.5
2016-04-06 16:00:00,40.1,280,15,30.866666666666664
2016-04-06 19:00:00,35.1,235,9,39.1
2016-04-06 22:00:00,32.5,230,11,40.53333333333334
2016-04-07 01:00:00,30.2,225,11,35.13333333333333
2016-04-07 04:00:00,28.2,230,13,35.333333333333336
2016-04-07 07:00:00,27.6,235,11,39.63333333333333
2016-04-07 10:00:00,33.7,225,11,28.9
2016-04-07 13:00:00,38.2,225,6,24.3
2016-04-07 16:00:00,40.0,155,4,25.933333333333337
2016-04-07 19:00:00,33.9,285,3,36.3
2016-04-07 22:00:00,31.2,150,10,37.53333333333333
2016-04-08 01:00:00,30.1,270,11,34.833333333333336
2016-04-08 04:00:00,29.1,255,4,27.73333333333333
2016-04-08 07:00:00,28.8,170,11,32.06666666666667
2016-04-08 10:00:00,34.5,170,12,23.0
2016-04-08 13:00:00,39.0,175,11,18.166666666666668
2016-04-08 16:00:00,40.4,155,12,21.166666666666668
2016-04-08 19:00:00,32.5,160,11,27.73333333333333
2016-04-08 22:00:00,30.4,170,20,31.866666666666664
2016-04-09 01:00:00,29.8,205,21,30.633333333333336
2016-04-09 04:00:00,28.9,230,17,26.6
2016-04-09 07:00:00,28.7,245,15,25.5
2016-04-09 10:00:00,34.7,245,13,22.33333333333333
2016-04-09 13:00:00,39.1,225,10,23.633333333333336
2016-04-09 16:00:00,40.8,215,12,24.23333333333333
2016-04-09 19:00:00,34.4,225,23,30.933333333333334
2016-04-09 22:00:00,32.7,260,16,36.2
2016-04-10 01:00:00,30.8,270,22,33.766666666666666
2016-04-10 04:00:00,28.7,270,24,36.9
2016-04-10 07:00:00,28.3,265,25,34.53333333333333
2016-04-10 10:00:00,35.0,270,21,27.73333333333333
2016-04-10 13:00:00,40.3,275,20,24.266666666666666
2016-04-10 16:00:00,42.1,275,18,28.066666666666663
2016-04-10 19:00:00,35.6,270,11,43.866666666666674
2016-04-10 22:00:00,32.4,260,11,38.56666666666667
2016-04-11 01:00:00,28.8,275,20,36.93333333333333
2016-04-11 04:00:00,26.5,290,18,41.13333333333333
2016-04-11 07:00:00,27.0,315,14,44.4
2016-04-11 10:00:00,34.7,325,11,37.66666666666666
2016-04-11 13:00:00,40.2,290,12,40.86666666666667
2016-04-11 16:00:00,42.2,275,11,41.1
2016-04-11 19:00:00,35.6,255,13,47.36666666666667
2016-04-11 22:00:00,32.0,285,14,36.76666666666667
2016-04-12 01:00:00,28.9,290,21,36.3
2016-04-12 04:00:00,26.8,290,17,39.76666666666666
2016-04-12 07:00:00,27.0,285,10,41.3
2016-04-12 10:00:00,34.6,300,15,41.266666666666666
2016-04-12 13:00:00,39.8,280,19,42.26666666666667
2016-04-12 16:00:00,41.6,275,25,43.73333333333333
2016-04-12 19:00:00,34.2,290,16,40.77222222222222
2016-04-12 22:00:00,30.9,290,18,40.77222222222222
2016-04-13 01:00:00,28.2,310,23,40.16666666666667
2016-04-13 04:00:00,26.7,310,30,41.7
2016-04-13 07:00:00,27.0,325,32,42.43333333333333
2016-04-13 10:00:00,34.6,330,30,40.5
2016-04-13 13:00:00,40.1,320,20,36.46666666666667
2016-04-13 16:00:00,41.8,295,20,39.86666666666667
2016-04-13 19:00:00,35.2,300,22,41.5
2016-04-13 22:00:00,31.5,295,16,38.7
2016-04-14 01:00:00,28.1,305,12,39.7
2016-04-14 04:00:00,26.8,310,14,39.96666666666667
2016-04-14 07:00:00,27.2,290,1,44.63333333333333
2016-04-14 10:00:00,34.5,230,7,42.53333333333333
2016-04-14 13:00:00,38.6,275,15,39.36666666666667
2016-04-14 16:00:00,40.9,275,9,38.16666666666667
2016-04-14 19:00:00,36.3,210,10,37.9
2016-04-14 22:00:00,33.2,215,12,35.96666666666667
2016-04-15 01:00:00,30.8,255,15,34.266666666666666
2016-04-15 04:00:00,29.0,265,14,35.7
2016-04-15 07:00:00,28.4,230,6,40.86666666666667
2016-04-15 10:00:00,35.1,220,7,36.6
2016-04-15 13:00:00,39.4,245,5,30.0
2016-04-15 16:00:00,41.7,205,4,30.9
2016-04-15 19:00:00,36.2,210,18,36.00000000000001
2016-04-15 22:00:00,33.6,225,17,37.5
2016-04-16 01:00:00,31.6,245,13,35.4
2016-04-16 04:00:00,29.3,220,9,34.06666666666666
2016-04-16 07:00:00,28.6,210,5,35.49999999999999
2016-04-16 10:00:00,34.7,200,7,32.5
2016-04-16 13:00:00,40.1,245,5,29.1
2016-04-16 16:00:00,42.0,215,4,33.06666666666667
2016-04-16 19:00:00,33.7,290,6,36.06666666666666
2016-04-16 22:00:00,31.9,170,11,41.0
2016-04-17 01:00:00,30.8,180,5,38.46666666666667
2016-04-17 04:00:00,29.1,155,4,36.23333333333333
2016-04-17 07:00:00,28.5,155,3,34.86666666666667
2016-04-17 10:00:00,34.4,115,3,31.83333333333333
2016-04-17 13:00:00,39.5,155,7,28.53333333333333
2016-04-17 16:00:00,41.2,150,12,31.433333333333337
2016-04-17 19:00:00,34.2,160,9,43.76666666666667
2016-04-17 22:00:00,31.7,155,18,33.46666666666667
2016-04-18 01:00:00,31.1,170,22,35.13333333333333
2016-04-18 04:00:00,29.7,170,24,33.900000000000006
2016-04-18 07:00:00,29.2,175,21,33.266666666666666
2016-04-18 10:00:00,34.8,165,19,28.866666666666664
2016-04-18 13:00:00,39.9,160,11,26.433333333333334
2016-04-18 16:00:00,41.4,145,14,35.800000000000004
2016-04-18 19:00:00,33.8,170,9,36.766666666666666
2016-04-18 22:00:00,31.0,135,18,29.2
2016-04-19 01:00:00,30.3,125,24,26.33333333333333
2016-04-19 04:00:00,29.4,140,26,25.1
2016-04-19 07:00:00,29.9,155,20,25.8
2016-04-19 10:00:00,35.4,160,18,24.83333333333333
2016-04-19 13:00:00,39.9,145,21,23.8
2016-04-19 16:00:00,40.1,150,24,23.433333333333334
2016-04-19 19:00:00,34.3,175,15,31.5
2016-04-19 22:00:00,31.7,165,15,23.3
2016-04-20 01:00:00,30.6,165,20,22.83333333333333
2016-04-20 04:00:00,29.6,165,18,24.5
2016-04-20 07:00:00,30.2,180,18,26.9
2016-04-20 10:00:00,35.8,180,11,24.23333333333333
2016-04-20 13:00:00,40.5,135,4,21.3
2016-04-20 16:00:00,39.3,155,11,21.73333333333333
2016-04-20 19:00:00,34.6,210,22,26.53333333333333
2016-04-20 22:00:00,32.3,220,18,27.766666666666666
2016-04-21 01:00:00,31.2,205,13,27.266666666666666
2016-04-21 04:00:00,29.7,210,15,25.7
2016-04-21 07:00:00,29.6,245,18,30.83333333333333
2016-04-21 10:00:00,35.2,240,11,27.566666666666663
2016-04-21 13:00:00,38.3,225,9,25.633333333333336
2016-04-21 16:00:00,37.8,200,12,31.6
2016-04-21 19:00:00,34.8,205,19,37.9
2016-04-21 22:00:00,32.2,235,15,29.3
2016-04-22 01:00:00,30.3,230,14,27.46666666666667
2016-04-22 04:00:00,29.0,230,15,23.3
2016-04-22 07:00:00,29.1,240,21,28.23333333333333
2016-04-22 10:00:00,34.9,245,17,25.1
2016-04-22 13:00:00,38.9,255,16,26.366666666666664
2016-04-22 16:00:00,38.8,250,17,28.6
2016-04-22 19:00:00,35.6,235,19,34.1
2016-04-22 22:00:00,32.2,240,17,29.03333333333333
2016-04-23 01:00:00,29.1,265,21,29.166666666666668
2016-04-23 04:00:00,27.0,270,25,31.166666666666668
2016-04-23 07:00:00,27.5,275,24,29.83333333333333
2016-04-23 10:00:00,35.1,275,18,28.566666666666663
2016-04-23 13:00:00,39.9,240,14,23.933333333333334
2016-04-23 16:00:00,41.8,220,13,25.3
2016-04-23 19:00:00,36.1,235,17,30.0
2016-04-23 22:00:00,33.0,280,15,27.366666666666664
2016-04-24 01:00:00,30.4,250,18,27.03333333333333
2016-04-24 04:00:00,28.3,245,15,28.566666666666663
2016-04-24 07:00:00,28.4,235,11,26.666666666666668
2016-04-24 10:00:00,34.6,240,7,24.266666666666666
2016-04-24 13:00:00,39.5,255,5,25.4
2016-04-24 16:00:00,41.3,190,4,22.9
2016-04-24 19:00:00,34.6,215,15,25.766666666666666
2016-04-24 22:00:00,32.1,230,16,29.7
2016-04-25 01:00:00,31.0,255,19,32.53333333333333
2016-04-25 04:00:00,29.3,265,16,32.7
2016-04-25 07:00:00,29.0,295,14,37.766666666666666
2016-04-25 10:00:00,35.2,275,7,31.59047619047619
2016-04-25 13:00:00,39.6,265,7,25.23333333333333
2016-04-25 16:00:00,41.6,240,5,27.433333333333334
2016-04-25 19:00:00,36.0,215,15,30.9
2016-04-25 22:00:00,32.8,275,11,34.56666666666667
2016-04-26 01:00:00,31.2,300,8,38.16666666666666
2016-04-26 04:00:00,30.0,280,9,32.333333333333336
2016-04-26 07:00:00,29.7,280,11,33.666666666666664
2016-04-26 10:00:00,36.4,265,7,32.599999999999994
2016-04-26 13:00:00,40.2,265,6,27.5
2016-04-26 16:00:00,41.9,265,6,30.23333333333333
2016-04-26 19:00:00,36.8,230,17,36.833333333333336
2016-04-26 22:00:00,33.0,255,14,39.8
2016-04-27 01:00:00,31.6,285,11,37.73333333333333
2016-04-27 04:00:00,29.8,255,10,36.96666666666667
2016-04-27 07:00:00,29.6,245,15,46.06666666666666
2016-04-27 10:00:00,36.2,260,14,31.133333333333336
2016-04-27 13:00:00,40.6,255,10,28.3
2016-04-27 16:00:00,40.0,235,13,32.0
2016-04-27 19:00:00,35.8,245,14,45.2
2016-04-27 22:00:00,32.7,260,10,40.56666666666667
2016-04-28 01:00:00,30.6,225,11,41.766666666666666
2016-04-28 04:00:00,28.7,210,14,40.2
2016-04-28 07:00:00,28.9,190,15,26.866666666666664
2016-04-28 10:00:00,35.9,185,14,32.46666666666667
2016-04-28 13:00:00,40.7,190,11,31.866666666666664
2016-04-28 16:00:00,41.6,165,13,27.6
2016-04-28 19:00:00,34.9,180,23,28.133333333333336
2016-04-28 22:00:00,32.9,210,12,27.5
2016-04-29 01:00:00,31.4,230,14,23.03333333333333
2016-04-29 04:00:00,29.3,215,12,37.0
2016-04-29 07:00:00,29.1,210,11,31.9
2016-04-29 10:00:00,35.1,225,6,26.633333333333336
2016-04-29 13:00:00,40.3,200,8,26.73333333333333
2016-04-29 16:00:00,40.8,165,8,20.6
2016-04-29 19:00:00,35.3,185,20,28.166666666666668
2016-04-29 22:00:00,32.9,210,15,32.13333333333333
2016-04-30 01:00:00,32.1,200,19,27.433333333333334
2016-04-30 04:00:00,30.3,195,17,18.933333333333334
2016-04-30 07:00:00,29.9,220,17,14.966666666666669
2016-04-30 10:00:00,35.3,220,9,23.3
2016-04-30 13:00:00,38.7,220,8,28.166666666666668
2016-04-30 16:00:00,37.9,155,10,24.633333333333336
2016-04-30 19:00:00,32.4,175,19,32.0
2016-04-30 22:00:00,31.2,190,7,22.933333333333334
2016-05-01 01:00:00,30.6,190,5,19.3
2016-05-01 04:00:00,29.6,190,5,19.133333333333336
2016-05-01 07:00:00,29.8,250,5,25.399999999999995
2016-05-01 10:00:00,34.8,250,1,17.666666666666668
2016-05-01 13:00:00,38.1,195,3,13.033333333333331
2016-05-01 16:00:00,39.1,185,5,15.033333333333331
2016-05-01 19:00:00,34.3,200,17,26.066666666666663
2016-05-01 22:00:00,32.3,220,11,27.566666666666663
2016-05-02 01:00:00,31.1,235,17,28.0
2016-05-02 04:00:00,29.3,245,13,24.3
2016-05-02 07:00:00,29.3,255,11,27.133333333333336
2016-05-02 10:00:00,34.8,240,8,19.266666666666666
2016-05-02 13:00:00,39.1,255,6,15.5
2016-05-02 16:00:00,41.1,250,3,14.633333333333336
2016-05-02 19:00:00,35.1,210,7,14.033333333333331
2016-05-02 22:00:00,32.9,210,8,22.53333333333333
2016-05-03 01:00:00,31.2,230,15,27.9
2016-05-03 04:00:00,29.5,255,10,17.03333333333333
2016-05-03 07:00:00,29.3,220,11,21.83333333333333
2016-05-03 10:00:00,35.1,225,9,20.933333333333334
2016-05-03 13:00:00,39.0,200,8,17.799999999999997
2016-05-03 16:00:00,39.4,175,8,14.5
2016-05-03 19:00:00,35.2,185,17,16.599999999999998
2016-05-03 22:00:00,32.1,175,14,16.2
2016-05-04 01:00:00,31.1,170,18,14.966666666666669
2016-05-04 04:00:00,29.8,170,18,17.866666666666667
2016-05-04 07:00:00,30.2,160,20,25.73333333333333
2016-05-04 10:00:00,36.0,170,16,23.566666666666663
2016-05-04 13:00:00,39.8,160,16,24.46666666666667
2016-05-04 16:00:00,38.3,165,19,27.6
2016-05-04 19:00:00,35.3,205,15,25.53333333333333
