,Khon Kaen,Khon Kaen,Khon Kaen,Khon Kaen
2016-03-08 22:00:00,33.0,220,20,42.16666666666666
2016-03-09 01:00:00,30.4,215,21,36.56666666666667
2016-03-09 04:00:00,28.9,230,15,73.0
2016-03-09 07:00:00,28.8,255,12,47.96666666666666
2016-03-09 10:00:00,34.9,225,13,49.53333333333334
2016-03-09 13:00:00,38.4,230,18,49.7
2016-03-09 16:00:00,39.4,230,19,59.1
2016-03-09 19:00:00,35.4,225,24,70.63333333333334
2016-03-09 22:00:00,33.0,225,16,44.866666666666674
2016-03-10 01:00:00,30.6,230,15,38.25
2016-03-10 04:00:00,28.6,265,20,48.3
2016-03-10 07:00:00,29.1,285,13,59.23333333333334
2016-03-10 10:00:00,35.3,270,9,55.26666666666667
2016-03-10 13:00:00,38.6,240,3,39.1
2016-03-10 16:00:00,39.5,180,5,23.433333333333334
2016-03-10 19:00:00,36.4,175,10,27.933333333333334
2016-03-10 22:00:00,33.5,185,13,30.566666666666663
2016-03-11 01:00:00,27.4,200,16,31.73333333333333
2016-03-11 04:00:00,25.1,190,17,31.899999999999995
2016-03-11 07:00:00,24.7,190,16,31.83333333333333
2016-03-11 10:00:00,28.5,190,12,31.73333333333333
2016-03-11 13:00:00,33.7,120,9,31.866666666666664
2016-03-11 16:00:00,35.4,145,10,31.73333333333333
2016-03-11 19:00:00,31.6,165,17,32.03333333333333
2016-03-11 22:00:00,27.8,190,26,31.866666666666664
2016-03-12 01:00:00,25.7,190,23,31.8
2016-03-12 04:00:00,24.3,185,30,31.83333333333333
2016-03-12 07:00:00,23.5,190,29,31.8
2016-03-12 10:00:00,28.5,205,24,31.766666666666666
2016-03-12 13:00:00,33.2,205,17,31.666666666666668
2016-03-12 16:00:00,35.3,220,17,42.16666666666666
2016-03-12 19:00:00,32.2,215,23,52.16666666666666
2016-03-12 22:00:00,30.6,230,23,48.4
2016-03-13 01:00:00,28.6,240,24,47.6
2016-03-13 04:00:00,28.0,245,26,46.56666666666666
2016-03-13 07:00:00,27.3,235,19,62.66666666666666
2016-03-13 10:00:00,33.2,230,20,50.03333333333333
2016-03-13 13:00:00,37.4,200,12,46.20000000000001
2016-03-13 16:00:00,38.6,230,21,49.93333333333334
2016-03-13 19:00:00,34.1,235,23,64.63333333333334
2016-03-13 22:00:00,32.1,215,17,62.06666666666666
2016-03-14 01:00:00,29.0,210,7,46.73333333333333
2016-03-14 04:00:00,27.5,245,11,44.53333333333333
2016-03-14 07:00:00,28.0,200,12,57.93333333333334
2016-03-14 10:00:00,34.2,215,10,52.133333333333326
2016-03-14 13:00:00,38.0,220,9,48.5
2016-03-14 16:00:00,39.1,220,7,44.9
2016-03-14 19:00:00,34.4,195,9,36.46666666666666
2016-03-14 22:00:00,32.5,190,12,51.86666666666667
2016-03-15 01:00:00,29.0,210,17,47.03333333333334
2016-03-15 04:00:00,26.9,200,21,46.4
2016-03-15 07:00:00,25.9,260,6,54.866666666666674
2016-03-15 10:00:00,32.1,260,6,56.23333333333333
2016-03-15 13:00:00,37.0,235,9,45.76666666666667
2016-03-15 16:00:00,38.9,240,12,44.53333333333333
2016-03-15 19:00:00,35.2,225,16,47.0
2016-03-15 22:00:00,33.9,235,13,40.63333333333333
2016-03-16 01:00:00,31.0,250,12,40.6
2016-03-16 04:00:00,29.7,260,23,45.05
2016-03-16 07:00:00,28.7,245,24,51.833333333333336
2016-03-16 10:00:00,35.1,235,28,49.16666666666666
2016-03-16 13:00:00,38.3,235,27,50.73333333333334
2016-03-16 16:00:00,39.5,235,24,49.3
2016-03-16 19:00:00,34.5,230,30,62.73333333333333
2016-03-16 22:00:00,32.3,215,26,53.9
2016-03-17 01:00:00,30.2,210,22,42.2
2016-03-17 04:00:00,28.4,215,26,40.6
2016-03-17 07:00:00,29.0,210,29,52.5
2016-03-17 10:00:00,35.6,210,26,52.23333333333333
2016-03-17 13:00:00,39.3,225,22,63.8
2016-03-17 16:00:00,40.3,230,23,48.93333333333334
2016-03-17 19:00:00,34.9,245,25,72.96666666666665
2016-03-17 22:00:00,32.7,250,13,50.900000000000006
2016-03-18 01:00:00,30.1,235,15,63.36666666666667
2016-03-18 04:00:00,28.4,230,17,51.43333333333333
2016-03-18 07:00:00,29.3,245,18,51.66666666666666
2016-03-18 10:00:00,36.6,235,20,58.06666666666666
2016-03-18 13:00:00,40.0,235,24,60.53333333333334
2016-03-18 16:00:00,40.8,225,26,60.76666666666667
2016-03-18 19:00:00,35.6,225,27,61.1
2016-03-18 22:00:00,33.2,230,19,54.43333333333334
2016-03-19 01:00:00,31.0,240,22,75.53333333333333
2016-03-19 04:00:00,29.1,235,25,70.23333333333333
2016-03-19 07:00:00,29.3,235,29,75.5
2016-03-19 10:00:00,35.8,230,29,78.86666666666667
2016-03-19 13:00:00,39.9,225,27,77.16666666666667
2016-03-19 16:00:00,40.9,225,28,82.89999999999999
2016-03-19 19:00:00,35.3,225,30,86.46666666666665
2016-03-19 22:00:00,33.0,205,22,76.7
2016-03-20 01:00:00,30.9,210,25,65.86666666666667
2016-03-20 04:00:00,29.2,220,29,68.39999999999999
2016-03-20 07:00:00,29.8,215,31,75.16666666666667
2016-03-20 10:00:00,36.7,215,29,82.73333333333333
2016-03-20 13:00:00,40.8,225,27,77.5
2016-03-20 16:00:00,40.7,235,31,74.39999999999999
2016-03-20 19:00:00,35.8,240,30,74.03333333333333
2016-03-20 22:00:00,33.4,230,23,85.46666666666665
2016-03-21 01:00:00,30.7,240,25,89.16666666666667
2016-03-21 04:00:00,28.9,235,30,83.03333333333333
2016-03-21 07:00:00,28.8,240,31,85.73333333333333
2016-03-21 10:00:00,36.1,240,31,85.3
2016-03-21 13:00:00,39.2,250,22,80.50000000000001
2016-03-21 16:00:00,40.5,235,24,74.0
2016-03-21 19:00:00,35.5,225,36,90.56666666666666
2016-03-21 22:00:00,33.3,230,29,82.39999999999999
2016-03-22 01:00:00,30.4,245,27,79.4
2016-03-22 04:00:00,29.0,245,26,82.5
2016-03-22 07:00:00,29.3,215,25,86.06666666666668
2016-03-22 10:00:00,36.4,225,22,77.4
2016-03-22 13:00:00,40.5,230,20,70.63333333333334
2016-03-22 16:00:00,41.6,230,26,84.16666666666667
2016-03-22 19:00:00,36.0,230,38,99.06666666666666
2016-03-22 22:00:00,32.9,250,31,81.63333333333334
2016-03-23 01:00:00,29.8,265,31,64.63333333333334
2016-03-23 04:00:00,27.8,260,33,72.73333333333333
2016-03-23 07:00:00,28.4,240,25,72.60000000000001
2016-03-23 10:00:00,35.7,230,22,83.36666666666666
2016-03-23 13:00:00,39.2,235,20,82.36666666666666
2016-03-23 16:00:00,40.3,225,24,90.2
2016-03-23 19:00:00,35.6,225,35,96.66666666666669
2016-03-23 22:00:00,33.2,235,30,86.43333333333334
2016-03-24 01:00:00,30.6,235,27,59.6
2016-03-24 04:00:00,28.6,230,28,63.56666666666666
2016-03-24 07:00:00,29.1,210,31,69.7
2016-03-24 10:00:00,36.4,220,25,79.9
2016-03-24 13:00:00,39.5,220,17,43.6
2016-03-24 16:00:00,40.1,215,14,34.5
2016-03-24 19:00:00,35.6,210,19,50.7
2016-03-24 22:00:00,28.9,185,13,42.03333333333333
2016-03-25 01:00:00,26.2,150,25,35.900000000000006
2016-03-25 04:00:00,24.1,140,34,34.733333333333334
2016-03-25 07:00:00,24.4,120,36,50.7
2016-03-25 10:00:00,29.0,100,36,34.733333333333334
2016-03-25 13:00:00,31.5,90,25,22.7
2016-03-25 16:00:00,31.2,85,21,23.9
2016-03-25 19:00:00,25.7,5,6,36.2
2016-03-25 22:00:00,23.0,20,11,33.6
2016-03-26 01:00:00,20.9,80,6,34.833333333333336
2016-03-26 04:00:00,19.8,100,7,40.33333333333333
2016-03-26 07:00:00,20.8,125,13,54.333333333333336
2016-03-26 10:00:00,26.0,135,13,58.4
2016-03-26 13:00:00,30.1,115,11,52.46666666666667
2016-03-26 16:00:00,32.5,95,8,36.4
2016-03-26 19:00:00,29.1,110,12,37.96666666666667
2016-03-26 22:00:00,28.1,115,13,36.9
2016-03-27 01:00:00,24.8,155,12,31.366666666666664
2016-03-27 04:00:00,22.1,150,7,35.46666666666667
2016-03-27 07:00:00,21.4,165,5,49.5
2016-03-27 10:00:00,26.0,95,14,43.4
2016-03-27 13:00:00,30.2,75,18,37.56666666666667
2016-03-27 16:00:00,32.2,75,17,43.63333333333333
2016-03-27 19:00:00,28.7,85,20,53.03333333333334
2016-03-27 22:00:00,25.0,115,7,49.36666666666667
2016-03-28 01:00:00,21.6,170,4,46.2
2016-03-28 04:00:00,20.0,165,2,50.56666666666666
2016-03-28 07:00:00,20.5,125,10,61.133333333333326
2016-03-28 10:00:00,26.6,115,13,73.1
2016-03-28 13:00:00,31.4,95,14,64.93333333333334
2016-03-28 16:00:00,33.3,90,8,56.65
2016-03-28 19:00:00,29.4,100,7,58.8
2016-03-28 22:00:00,29.0,125,10,53.833333333333336
2016-03-29 01:00:00,26.3,180,11,47.43333333333334
2016-03-29 04:00:00,23.8,195,12,50.43333333333334
2016-03-29 07:00:00,23.7,210,16,60.56666666666666
2016-03-29 10:00:00,28.8,205,14,61.76666666666667
2016-03-29 13:00:00,33.3,150,6,78.7
2016-03-29 16:00:00,34.2,140,5,70.83333333333333
2016-03-29 19:00:00,32.5,175,8,78.56666666666668
2016-03-29 22:00:00,30.8,180,11,64.39999999999999
2016-03-30 01:00:00,30.2,200,19,70.46666666666667
2016-03-30 04:00:00,29.3,195,19,72.26666666666667
2016-03-30 07:00:00,28.2,165,11,80.26666666666667
2016-03-30 10:00:00,32.3,145,8,87.39999999999999
2016-03-30 13:00:00,34.4,130,10,85.06666666666666
2016-03-30 16:00:00,35.5,155,6,94.7
2016-03-30 19:00:00,33.5,125,10,99.03333333333336
2016-03-30 22:00:00,32.1,130,16,85.56666666666666
2016-03-31 01:00:00,30.1,145,17,78.30000000000001
2016-03-31 04:00:00,28.2,155,18,91.13333333333333
2016-03-31 07:00:00,28.8,160,10,73.7
2016-03-31 10:00:00,33.2,180,3,73.4
2016-03-31 13:00:00,34.9,135,2,53.86666666666667
2016-03-31 16:00:00,34.8,230,5,52.2
2016-03-31 19:00:00,32.6,215,11,53.1
2016-03-31 22:00:00,30.8,215,13,56.0
2016-04-01 01:00:00,29.6,215,17,53.63333333333333
2016-04-01 04:00:00,28.5,200,19,58.43333333333334
2016-04-01 07:00:00,29.0,200,16,49.4
2016-04-01 10:00:00,33.4,220,17,37.16666666666666
2016-04-01 13:00:00,34.5,240,17,37.26666666666667
2016-04-01 16:00:00,34.2,250,17,43.46666666666667
2016-04-01 19:00:00,32.3,235,14,50.93333333333334
2016-04-01 22:00:00,30.7,215,15,53.0
2016-04-02 01:00:00,29.3,215,14,49.46666666666666
2016-04-02 04:00:00,28.1,195,13,50.76666666666667
2016-04-02 07:00:00,29.4,195,12,45.29999999999999
2016-04-02 10:00:00,33.2,210,10,36.53333333333333
2016-04-02 13:00:00,35.0,205,13,36.3
2016-04-02 16:00:00,35.1,220,14,44.53333333333333
2016-04-02 19:00:00,34.0,210,19,47.1
2016-04-02 22:00:00,32.0,205,17,45.53333333333334
2016-04-03 01:00:00,29.5,220,25,47.16666666666666
2016-04-03 04:00:00,28.2,235,24,42.96666666666667
2016-04-03 07:00:00,29.4,255,20,56.4
2016-04-03 10:00:00,34.3,260,19,51.46666666666667
2016-04-03 13:00:00,37.1,250,13,47.23333333333333
2016-04-03 16:00:00,38.8,240,18,42.96666666666667
2016-04-03 19:00:00,35.4,240,23,55.26666666666667
2016-04-03 22:00:00,32.9,230,24,47.46666666666667
2016-04-04 01:00:00,30.4,235,23,35.56666666666667
2016-04-04 04:00:00,28.8,240,22,39.16666666666666
2016-04-04 07:00:00,29.8,250,20,50.29999999999999
2016-04-04 10:00:00,35.7,250,18,55.133333333333326
2016-04-04 13:00:00,38.0,245,21,53.3
2016-04-04 16:00:00,39.1,250,22,55.93333333333334
2016-04-04 19:00:00,35.2,240,27,55.53333333333334
2016-04-04 22:00:00,33.2,240,29,36.4
2016-04-05 01:00:00,30.8,240,28,34.266666666666666
2016-04-05 04:00:00,28.9,220,26,39.56666666666667
2016-04-05 07:00:00,30.0,225,28,48.5
2016-04-05 10:00:00,36.8,230,27,43.86666666666667
2016-04-05 13:00:00,39.4,220,23,50.3
2016-04-05 16:00:00,40.0,220,25,53.36666666666667
2016-04-05 19:00:00,35.6,220,26,49.66666666666666
2016-04-05 22:00:00,33.0,235,21,45.366666666666674
2016-04-06 01:00:00,30.6,250,29,50.56666666666667
2016-04-06 04:00:00,28.9,240,31,51.66666666666666
2016-04-06 07:00:00,29.3,230,33,53.03333333333333
2016-04-06 10:00:00,36.3,235,30,53.1
2016-04-06 13:00:00,39.5,230,25,48.23333333333333
2016-04-06 16:00:00,40.1,230,22,57.03333333333333
2016-04-06 19:00:00,36.0,230,22,58.2
2016-04-06 22:00:00,33.8,210,19,52.4
2016-04-07 01:00:00,31.6,210,16,40.23333333333334
2016-04-07 04:00:00,30.0,225,21,42.5
2016-04-07 07:00:00,30.6,235,26,57.0
2016-04-07 10:00:00,36.6,235,24,59.5
2016-04-07 13:00:00,39.3,220,17,49.96666666666667
2016-04-07 16:00:00,39.6,220,16,63.23333333333333
2016-04-07 19:00:00,37.1,220,15,71.8
2016-04-07 22:00:00,35.2,205,10,57.7
2016-04-08 01:00:00,32.4,200,12,40.00000000000001
2016-04-08 04:00:00,30.9,175,19,39.46666666666666
2016-04-08 07:00:00,31.9,170,18,54.16666666666666
2016-04-08 10:00:00,37.8,195,18,57.23333333333333
2016-04-08 13:00:00,39.3,205,20,48.86666666666667
2016-04-08 16:00:00,39.5,215,17,53.8
2016-04-08 19:00:00,36.0,200,13,60.06666666666666
2016-04-08 22:00:00,34.0,180,13,45.53333333333333
2016-04-09 01:00:00,33.1,235,18,34.233333333333334
2016-04-09 04:00:00,30.7,270,15,37.46666666666667
2016-04-09 07:00:00,31.5,255,16,40.56666666666666
2016-04-09 10:00:00,37.1,260,18,39.0
2016-04-09 13:00:00,39.9,240,19,48.03333333333333
2016-04-09 16:00:00,38.9,240,25,46.29999999999999
2016-04-09 19:00:00,36.5,235,35,42.1
2016-04-09 22:00:00,34.5,230,35,45.43333333333334
2016-04-10 01:00:00,31.7,245,30,54.7
2016-04-10 04:00:00,30.0,245,31,58.76666666666667
2016-04-10 07:00:00,30.6,245,26,61.96666666666667
2016-04-10 10:00:00,37.3,255,24,64.66666666666667
2016-04-10 13:00:00,40.6,255,19,61.1
2016-04-10 16:00:00,40.6,255,20,59.53333333333334
2016-04-10 19:00:00,36.7,240,28,59.2
2016-04-10 22:00:00,34.4,250,30,58.8
2016-04-11 01:00:00,31.5,255,23,51.53333333333333
2016-04-11 04:00:00,29.9,265,18,50.2
2016-04-11 07:00:00,30.8,300,14,58.96666666666667
2016-04-11 10:00:00,37.4,280,7,67.3
2016-04-11 13:00:00,40.8,230,9,66.53333333333332
2016-04-11 16:00:00,40.7,225,13,65.36666666666666
2016-04-11 19:00:00,37.9,230,25,59.03333333333333
2016-04-11 22:00:00,35.6,235,20,52.93333333333334
2016-04-12 01:00:00,32.7,260,25,47.73333333333333
2016-04-12 04:00:00,31.3,265,28,50.0
2016-04-12 07:00:00,32.0,230,17,58.93333333333333
2016-04-12 10:00:00,38.1,225,20,64.7
2016-04-12 13:00:00,41.1,215,24,60.66666666666666
2016-04-12 16:00:00,40.6,220,31,61.06666666666666
2016-04-12 19:00:00,36.9,220,31,57.18333333333333
2016-04-12 22:00:00,34.7,220,27,57.18333333333333
2016-04-13 01:00:00,32.6,225,29,58.06666666666667
2016-04-13 04:00:00,30.9,220,36,55.5
2016-04-13 07:00:00,30.9,235,28,59.56666666666666
2016-04-13 10:00:00,38.1,235,23,61.06666666666667
2016-04-13 13:00:00,41.1,250,21,62.86666666666667
2016-04-13 16:00:00,40.9,250,22,63.6
2016-04-13 19:00:00,37.4,240,25,53.833333333333336
2016-04-13 22:00:00,36.0,235,27,50.03333333333333
2016-04-14 01:00:00,32.4,240,27,52.2
2016-04-14 04:00:00,31.2,240,31,55.866666666666674
2016-04-14 07:00:00,31.6,210,23,56.96666666666667
2016-04-14 10:00:00,38.0,215,23,59.16666666666666
2016-04-14 13:00:00,40.9,220,22,59.73333333333333
2016-04-14 16:00:00,40.8,225,22,59.13333333333333
2016-04-14 19:00:00,37.1,225,24,57.16666666666666
2016-04-14 22:00:00,35.6,230,24,48.63333333333333
2016-04-15 01:00:00,33.5,225,24,50.1
2016-04-15 04:00:00,32.0,225,26,50.76666666666667
2016-04-15 07:00:00,32.8,215,20,53.86666666666667
2016-04-15 10:00:00,37.9,215,23,58.06666666666666
2016-04-15 13:00:00,40.8,235,23,53.833333333333336
2016-04-15 16:00:00,41.3,225,21,50.76666666666667
2016-04-15 19:00:00,37.9,225,25,54.96666666666667
2016-04-15 22:00:00,35.5,215,17,47.56666666666666
2016-04-16 01:00:00,33.6,250,20,47.93333333333334
2016-04-16 04:00:00,32.0,250,17,47.56666666666667
2016-04-16 07:00:00,32.4,190,20,50.93333333333334
2016-04-16 10:00:00,38.6,195,18,54.26666666666667
2016-04-16 13:00:00,41.4,205,18,52.866666666666674
2016-04-16 16:00:00,41.3,215,19,57.833333333333336
2016-04-16 19:00:00,37.3,235,16,64.93333333333334
2016-04-16 22:00:00,34.7,185,23,57.66666666666666
2016-04-17 01:00:00,32.8,210,23,49.16666666666666
2016-04-17 04:00:00,31.3,220,21,48.2
2016-04-17 07:00:00,32.6,205,17,53.866666666666674
2016-04-17 10:00:00,38.9,210,18,56.93333333333334
2016-04-17 13:00:00,41.7,210,16,58.96666666666667
2016-04-17 16:00:00,42.4,210,19,60.2
2016-04-17 19:00:00,38.0,205,23,64.13333333333334
2016-04-17 22:00:00,35.8,200,24,49.46666666666666
2016-04-18 01:00:00,33.9,225,28,38.9
2016-04-18 04:00:00,31.9,230,28,57.2
2016-04-18 07:00:00,32.9,225,21,50.66666666666666
2016-04-18 10:00:00,38.0,235,16,43.03333333333333
2016-04-18 13:00:00,40.3,235,14,38.36666666666667
2016-04-18 16:00:00,41.4,210,10,48.0
2016-04-18 19:00:00,38.2,180,18,53.96666666666666
2016-04-18 22:00:00,35.7,170,27,52.06666666666666
2016-04-19 01:00:00,33.7,175,34,59.3
2016-04-19 04:00:00,31.8,180,28,68.2
2016-04-19 07:00:00,30.9,175,23,78.16666666666667
2016-04-19 10:00:00,35.0,165,23,58.2
2016-04-19 13:00:00,36.7,165,23,52.2
2016-04-19 16:00:00,37.1,180,18,43.3
2016-04-19 19:00:00,35.5,180,19,50.93333333333334
2016-04-19 22:00:00,34.4,185,18,43.03333333333333
2016-04-20 01:00:00,31.5,205,30,42.4
2016-04-20 04:00:00,30.1,200,20,37.63333333333333
2016-04-20 07:00:00,31.3,215,21,50.13333333333333
2016-04-20 10:00:00,35.5,225,15,53.06666666666667
2016-04-20 13:00:00,36.5,225,12,49.9
2016-04-20 16:00:00,38.1,205,15,29.96666666666667
2016-04-20 19:00:00,35.0,190,23,43.06666666666666
2016-04-20 22:00:00,31.8,200,25,42.9
2016-04-21 01:00:00,30.7,220,27,33.06666666666666
2016-04-21 04:00:00,29.6,220,21,37.4
2016-04-21 07:00:00,30.8,190,23,40.76666666666667
2016-04-21 10:00:00,35.4,205,16,50.16666666666666
2016-04-21 13:00:00,36.0,210,15,49.46666666666667
2016-04-21 16:00:00,37.1,210,20,54.06666666666667
2016-04-21 19:00:00,34.8,220,24,49.833333333333336
2016-04-21 22:00:00,33.2,215,20,34.53333333333333
2016-04-22 01:00:00,31.6,215,15,30.966666666666665
2016-04-22 04:00:00,29.8,210,18,39.16666666666666
2016-04-22 07:00:00,30.9,225,29,49.46666666666666
2016-04-22 10:00:00,37.0,230,31,52.53333333333333
2016-04-22 13:00:00,38.2,235,28,47.79999999999999
2016-04-22 16:00:00,39.2,235,31,51.93333333333334
2016-04-22 19:00:00,35.7,230,33,40.73333333333333
2016-04-22 22:00:00,33.8,230,35,40.8
2016-04-23 01:00:00,31.4,220,30,45.7
2016-04-23 04:00:00,29.7,220,30,38.9
2016-04-23 07:00:00,30.8,240,31,39.53333333333333
2016-04-23 10:00:00,36.5,230,25,44.76666666666667
2016-04-23 13:00:00,39.2,230,21,43.86666666666667
2016-04-23 16:00:00,39.1,235,23,44.36666666666667
2016-04-23 19:00:00,36.8,215,21,42.13333333333333
2016-04-23 22:00:00,35.8,225,27,39.73333333333334
2016-04-24 01:00:00,31.8,255,38,45.46666666666667
2016-04-24 04:00:00,29.7,245,38,46.53333333333334
2016-04-24 07:00:00,30.8,245,28,49.5
2016-04-24 10:00:00,35.9,255,19,46.833333333333336
2016-04-24 13:00:00,39.5,230,16,47.76666666666666
2016-04-24 16:00:00,40.5,235,18,46.833333333333336
2016-04-24 19:00:00,36.8,230,22,50.66666666666666
2016-04-24 22:00:00,34.8,230,20,43.9
2016-04-25 01:00:00,32.9,220,33,36.13333333333333
2016-04-25 04:00:00,31.3,215,32,41.1
2016-04-25 07:00:00,31.4,205,25,47.03333333333334
2016-04-25 10:00:00,36.6,210,21,49.195238095238096
2016-04-25 13:00:00,38.4,220,15,59.9
2016-04-25 16:00:00,38.1,235,17,52.66666666666666
2016-04-25 19:00:00,36.5,220,19,52.333333333333336
2016-04-25 22:00:00,34.6,235,15,55.2
2016-04-26 01:00:00,32.9,235,18,46.36666666666667
2016-04-26 04:00:00,31.4,240,20,44.56666666666666
2016-04-26 07:00:00,32.5,265,23,52.13333333333333
2016-04-26 10:00:00,37.9,260,16,53.3
2016-04-26 13:00:00,40.1,235,16,50.03333333333333
2016-04-26 16:00:00,39.0,245,16,53.2
2016-04-26 19:00:00,37.2,225,12,50.23333333333333
2016-04-26 22:00:00,35.6,225,16,42.63333333333333
2016-04-27 01:00:00,33.0,215,19,45.43333333333334
2016-04-27 04:00:00,31.5,230,19,50.23333333333333
2016-04-27 07:00:00,32.9,275,17,55.03333333333333
2016-04-27 10:00:00,37.1,260,8,63.93333333333334
2016-04-27 13:00:00,38.0,205,10,59.2
2016-04-27 16:00:00,39.1,210,16,58.23333333333333
2016-04-27 19:00:00,36.5,220,19,70.96666666666667
2016-04-27 22:00:00,33.5,195,10,67.36666666666667
2016-04-28 01:00:00,31.6,230,17,80.0
2016-04-28 04:00:00,30.8,225,14,48.900000000000006
2016-04-28 07:00:00,31.6,215,14,59.93333333333334
2016-04-28 10:00:00,36.7,200,14,62.03333333333334
2016-04-28 13:00:00,39.7,170,8,48.5
2016-04-28 16:00:00,39.2,185,11,49.46666666666667
2016-04-28 19:00:00,37.0,200,22,57.20000000000001
2016-04-28 22:00:00,34.0,200,17,63.0
2016-04-29 01:00:00,33.6,150,13,52.23333333333333
2016-04-29 04:00:00,30.5,120,4,62.76666666666667
2016-04-29 07:00:00,31.7,225,12,74.23333333333333
2016-04-29 10:00:00,35.3,260,10,78.16666666666666
2016-04-29 13:00:00,38.0,255,10,54.333333333333336
2016-04-29 16:00:00,38.1,200,6,50.5642857142857
2016-04-29 19:00:00,36.7,175,13,13.15
2016-04-29 22:00:00,34.3,175,18,19.066666666666663
2016-04-30 01:00:00,33.0,180,29,23.5
2016-04-30 04:00:00,31.1,205,24,25.24047619047619
2016-04-30 07:00:00,29.7,220,14,21.35
2016-04-30 10:00:00,32.0,240,10,22.933333333333334
2016-04-30 13:00:00,29.7,210,4,23.2
2016-04-30 16:00:00,33.0,220,12,30.0
2016-04-30 19:00:00,30.5,245,14,33.333333333333336
2016-04-30 22:00:00,30.2,245,17,22.366666666666664
2016-05-01 01:00:00,29.8,245,22,17.76666666666667
2016-05-01 04:00:00,28.9,240,24,23.7
2016-05-01 07:00:00,29.9,265,22,31.83333333333333
2016-05-01 10:00:00,33.8,250,16,31.366666666666664
2016-05-01 13:00:00,35.9,225,16,29.1
2016-05-01 16:00:00,36.7,220,18,36.7
2016-05-01 19:00:00,34.8,210,19,36.1
2016-05-01 22:00:00,33.5,215,17,33.666666666666664
2016-05-02 01:00:00,31.8,235,26,25.96666666666667
2016-05-02 04:00:00,30.2,240,21,29.166666666666668
2016-05-02 07:00:00,31.1,250,21,34.4
2016-05-02 10:00:00,35.8,250,18,40.0
2016-05-02 13:00:00,36.9,250,13,29.7
2016-05-02 16:00:00,37.0,250,14,30.566666666666663
2016-05-02 19:00:00,35.0,230,12,34.53333333333333
2016-05-02 22:00:00,34.3,230,11,34.266666666666666
2016-05-03 01:00:00,31.9,205,17,31.566666666666663
2016-05-03 04:00:00,30.6,210,16,24.15
2016-05-03 07:00:00,31.9,225,14,24.936666666666667
2016-05-03 10:00:00,36.1,230,12,24.936666666666667
2016-05-03 13:00:00,37.8,240,11,24.936666666666667
2016-05-03 16:00:00,37.3,245,12,24.5
2016-05-03 19:00:00,35.3,290,7,24.166666666666668
2016-05-03 22:00:00,33.7,270,4,20.3
2016-05-04 01:00:00,31.8,280,4,26.793333333333333
2016-05-04 04:00:00,30.4,355,4,26.793333333333333
2016-05-04 07:00:00,31.9,20,3,26.793333333333333
2016-05-04 10:00:00,35.5,270,2,23.55
2016-05-04 13:00:00,37.0,290,3,21.65
2016-05-04 16:00:00,36.7,240,7,26.3
