,PM2.5,Temp(C),WindDir,Wind Speed(km/h)
2016-03-12 12:00:00,21.5,28.9,110.0,27.0
2016-03-12 13:00:00,21.5,30.9,145.0,21.0
2016-03-12 14:00:00,21.5,30.9,145.0,21.0
2016-03-12 15:00:00,21.4,30.9,145.0,21.0
2016-03-12 16:00:00,21.5,29.9,160.0,15.0
2016-03-12 17:00:00,18.2,29.9,160.0,15.0
2016-03-12 18:00:00,23.2,29.9,160.0,15.0
2016-03-12 19:00:00,16.0,27.4,160.0,6.0
2016-03-12 20:00:00,21.2,27.4,160.0,6.0
2016-03-12 21:00:00,18.7,27.4,160.0,6.0
2016-03-12 22:00:00,19.1,26.7,90.0,4.0
2016-03-12 23:00:00,18.4,26.7,90.0,4.0
2016-03-13 00:00:00,16.3,26.7,90.0,4.0
2016-03-13 01:00:00,16.2,25.9,95.0,6.0
2016-03-13 02:00:00,21.76666666666667,25.9,95.0,6.0
2016-03-13 03:00:00,16.8,25.9,95.0,6.0
2016-03-13 04:00:00,21.76666666666667,24.9,85.0,7.0
2016-03-13 05:00:00,21.76666666666667,24.9,85.0,7.0
2016-03-13 06:00:00,24.1,24.9,85.0,7.0
2016-03-13 07:00:00,23.3,26.5,100.0,7.0
2016-03-13 08:00:00,33.2,26.5,100.0,7.0
2016-03-13 09:00:00,14.6,26.5,100.0,7.0
2016-03-13 10:00:00,21.8,29.7,100.0,9.0
2016-03-13 11:00:00,24.2,29.7,100.0,9.0
2016-03-13 12:00:00,21.8,29.7,100.0,9.0
2016-03-13 13:00:00,23.3,31.3,110.0,6.0
2016-03-13 14:00:00,26.0,31.3,110.0,6.0
2016-03-13 15:00:00,29.6,31.3,110.0,6.0
2016-03-13 16:00:00,15.7,30.1,110.0,5.0
2016-03-13 17:00:00,20.4,30.1,110.0,5.0
2016-03-13 18:00:00,18.9,30.1,110.0,5.0
2016-03-13 19:00:00,23.0,27.5,115.0,7.0
2016-03-13 20:00:00,26.7,27.5,115.0,7.0
2016-03-13 21:00:00,22.6,27.5,115.0,7.0
2016-03-13 22:00:00,19.1,26.5,110.0,7.0
2016-03-13 23:00:00,19.5,26.5,110.0,7.0
2016-03-14 00:00:00,18.3,26.5,110.0,7.0
2016-03-14 01:00:00,20.9,25.7,100.0,6.0
2016-03-14 02:00:00,12.3,25.7,100.0,6.0
2016-03-14 03:00:00,18.7,25.7,100.0,6.0
2016-03-14 04:00:00,21.8,25.6,95.0,6.0
2016-03-14 05:00:00,14.4,25.6,95.0,6.0
2016-03-14 06:00:00,15.8,25.6,95.0,6.0
2016-03-14 07:00:00,16.3,26.7,50.0,4.0
2016-03-14 08:00:00,21.5,26.7,50.0,4.0
2016-03-14 09:00:00,20.9,26.7,50.0,4.0
2016-03-14 10:00:00,22.1,29.3,65.0,11.0
2016-03-14 11:00:00,15.9,29.3,65.0,11.0
2016-03-14 12:00:00,16.1,29.3,65.0,11.0
2016-03-14 13:00:00,18.4,31.6,125.0,8.0
2016-03-14 14:00:00,11.5,31.6,125.0,8.0
2016-03-14 15:00:00,18.543478260869566,31.6,125.0,8.0
2016-03-14 16:00:00,17.8,30.6,170.0,5.0
2016-03-14 17:00:00,15.6,30.6,170.0,5.0
2016-03-14 18:00:00,19.2,30.6,170.0,5.0
2016-03-14 19:00:00,21.8,27.4,230.0,7.0
2016-03-14 20:00:00,24.5,27.4,230.0,7.0
2016-03-14 21:00:00,24.3,27.4,230.0,7.0
2016-03-14 22:00:00,19.8,25.9,110.0,2.0
2016-03-14 23:00:00,18.6,25.9,110.0,2.0
2016-03-15 00:00:00,19.1,25.9,110.0,2.0
2016-03-15 01:00:00,19.2,25.0,105.0,8.0
2016-03-15 02:00:00,16.1,25.0,105.0,8.0
2016-03-15 03:00:00,18.5,25.0,105.0,8.0
2016-03-15 04:00:00,18.5,24.0,95.0,10.0
2016-03-15 05:00:00,21.2,24.0,95.0,10.0
2016-03-15 06:00:00,22.9,24.0,95.0,10.0
2016-03-15 07:00:00,21.0,25.7,100.0,18.0
2016-03-15 08:00:00,14.4,25.7,100.0,18.0
2016-03-15 09:00:00,23.7,25.7,100.0,18.0
2016-03-15 10:00:00,22.3,29.5,85.0,21.0
2016-03-15 11:00:00,22.0,29.5,85.0,21.0
2016-03-15 12:00:00,20.1,29.5,85.0,21.0
2016-03-15 13:00:00,19.2,31.1,85.0,16.0
2016-03-15 14:00:00,19.4,31.1,85.0,16.0
2016-03-15 15:00:00,19.1,31.1,85.0,16.0
2016-03-15 16:00:00,18.2,30.1,85.0,14.0
2016-03-15 17:00:00,16.7,30.1,85.0,14.0
2016-03-15 18:00:00,19.5,30.1,85.0,14.0
2016-03-15 19:00:00,21.3,26.8,75.0,13.0
2016-03-15 20:00:00,27.7,26.8,75.0,13.0
2016-03-15 21:00:00,28.0,26.8,75.0,13.0
2016-03-15 22:00:00,23.3,25.2,10.0,9.0
2016-03-15 23:00:00,22.3,25.2,10.0,9.0
2016-03-16 00:00:00,20.1,25.2,10.0,9.0
2016-03-16 01:00:00,20.1,24.7,70.0,17.0
2016-03-16 02:00:00,21.4,24.7,70.0,17.0
2016-03-16 03:00:00,19.55909090909091,24.7,70.0,17.0
2016-03-16 04:00:00,19.55909090909091,22.9,75.0,16.0
2016-03-16 05:00:00,20.4,22.9,75.0,16.0
2016-03-16 06:00:00,20.4,22.9,75.0,16.0
2016-03-16 07:00:00,21.1,25.1,70.0,13.0
2016-03-16 08:00:00,21.7,25.1,70.0,13.0
2016-03-16 09:00:00,17.7,25.1,70.0,13.0
2016-03-16 10:00:00,18.4,29.2,80.0,13.0
2016-03-16 11:00:00,18.3,29.2,80.0,13.0
2016-03-16 12:00:00,18.6,29.2,80.0,13.0
2016-03-16 13:00:00,18.0,31.0,65.0,8.0
2016-03-16 14:00:00,19.5,31.0,65.0,8.0
2016-03-16 15:00:00,17.6,31.0,65.0,8.0
2016-03-16 16:00:00,16.5,30.0,15.0,3.0
2016-03-16 17:00:00,16.4,30.0,15.0,3.0
2016-03-16 18:00:00,14.0,30.0,15.0,3.0
2016-03-16 19:00:00,18.9,26.8,320.0,6.0
2016-03-16 20:00:00,24.3,26.8,320.0,6.0
2016-03-16 21:00:00,25.5,26.8,320.0,6.0
2016-03-16 22:00:00,23.3,24.7,0.0,9.0
2016-03-16 23:00:00,18.1,24.7,0.0,9.0
2016-03-17 00:00:00,17.6,24.7,0.0,9.0
2016-03-17 01:00:00,19.9,24.1,10.0,9.0
2016-03-17 02:00:00,13.1,24.1,10.0,9.0
2016-03-17 03:00:00,9.2,24.1,10.0,9.0
2016-03-17 04:00:00,19.5,23.4,15.0,10.0
2016-03-17 05:00:00,23.1,23.4,15.0,10.0
2016-03-17 06:00:00,24.0,23.4,15.0,10.0
2016-03-17 07:00:00,23.2,25.4,30.0,14.0
2016-03-17 08:00:00,21.5,25.4,30.0,14.0
2016-03-17 09:00:00,17.0,25.4,30.0,14.0
2016-03-17 10:00:00,18.6,29.5,35.0,17.0
2016-03-17 11:00:00,21.7,29.5,35.0,17.0
2016-03-17 12:00:00,19.5,29.5,35.0,17.0
2016-03-17 13:00:00,19.0,31.7,35.0,12.0
2016-03-17 14:00:00,19.1,31.7,35.0,12.0
2016-03-17 15:00:00,18.3,31.7,35.0,12.0
2016-03-17 16:00:00,18.3,30.5,5.0,8.0
2016-03-17 17:00:00,17.1,30.5,5.0,8.0
2016-03-17 18:00:00,20.1,30.5,5.0,8.0
2016-03-17 19:00:00,20.9,27.0,355.0,11.0
2016-03-17 20:00:00,22.7,27.0,355.0,11.0
2016-03-17 21:00:00,32.4,27.0,355.0,11.0
2016-03-17 22:00:00,28.8,25.3,25.0,12.0
2016-03-17 23:00:00,23.3,25.3,25.0,12.0
2016-03-18 00:00:00,14.0,25.3,25.0,12.0
2016-03-18 01:00:00,10.9,24.6,65.0,15.0
2016-03-18 02:00:00,11.7,24.6,65.0,15.0
2016-03-18 03:00:00,22.7,24.6,65.0,15.0
2016-03-18 04:00:00,20.0,23.3,75.0,17.0
2016-03-18 05:00:00,22.5,23.3,75.0,17.0
2016-03-18 06:00:00,25.2,23.3,75.0,17.0
2016-03-18 07:00:00,22.9,25.4,85.0,18.0
2016-03-18 08:00:00,22.7,25.4,85.0,18.0
2016-03-18 09:00:00,21.1,25.4,85.0,18.0
2016-03-18 10:00:00,23.9,29.6,90.0,22.0
2016-03-18 11:00:00,21.8,29.6,90.0,22.0
2016-03-18 12:00:00,22.0,29.6,90.0,22.0
2016-03-18 13:00:00,21.1,31.6,100.0,18.0
2016-03-18 14:00:00,17.7,31.6,100.0,18.0
2016-03-18 15:00:00,25.3,31.6,100.0,18.0
2016-03-18 16:00:00,27.2,30.0,110.0,13.0
2016-03-18 17:00:00,19.3,30.0,110.0,13.0
2016-03-18 18:00:00,19.9,30.0,110.0,13.0
2016-03-18 19:00:00,24.4,27.0,105.0,12.0
2016-03-18 20:00:00,25.8,27.0,105.0,12.0
2016-03-18 21:00:00,23.6,27.0,105.0,12.0
2016-03-18 22:00:00,20.4,26.1,85.0,15.0
2016-03-18 23:00:00,20.0,26.1,85.0,15.0
2016-03-19 00:00:00,37.3,26.1,85.0,15.0
2016-03-19 01:00:00,42.8,25.4,90.0,13.0
2016-03-19 02:00:00,23.7,25.4,90.0,13.0
2016-03-19 03:00:00,22.7,25.4,90.0,13.0
2016-03-19 04:00:00,24.3,24.7,120.0,9.0
2016-03-19 05:00:00,22.1,24.7,120.0,9.0
2016-03-19 06:00:00,25.4,24.7,120.0,9.0
2016-03-19 07:00:00,24.4,25.7,75.0,4.0
2016-03-19 08:00:00,24.8,25.7,75.0,4.0
2016-03-19 09:00:00,25.7,25.7,75.0,4.0
2016-03-19 10:00:00,26.5,29.4,45.0,7.0
2016-03-19 11:00:00,28.0,29.4,45.0,7.0
2016-03-19 12:00:00,25.1,29.4,45.0,7.0
2016-03-19 13:00:00,22.4,31.0,30.0,8.0
2016-03-19 14:00:00,24.7,31.0,30.0,8.0
2016-03-19 15:00:00,21.9,31.0,30.0,8.0
2016-03-19 16:00:00,23.4,29.7,15.0,6.0
2016-03-19 17:00:00,25.5,29.7,15.0,6.0
2016-03-19 18:00:00,22.8,29.7,15.0,6.0
2016-03-19 19:00:00,22.6,26.3,30.0,5.0
2016-03-19 20:00:00,25.2,26.3,30.0,5.0
2016-03-19 21:00:00,26.2,26.3,30.0,5.0
2016-03-19 22:00:00,24.1,25.1,50.0,6.0
2016-03-19 23:00:00,22.0,25.1,50.0,6.0
2016-03-20 00:00:00,17.8,25.1,50.0,6.0
2016-03-20 01:00:00,18.9,24.7,55.0,5.0
2016-03-20 02:00:00,18.4,24.7,55.0,5.0
2016-03-20 03:00:00,18.7,24.7,55.0,5.0
2016-03-20 04:00:00,21.5,23.8,95.0,3.0
2016-03-20 05:00:00,22.9,23.8,95.0,3.0
2016-03-20 06:00:00,21.9,23.8,95.0,3.0
2016-03-20 07:00:00,20.9,25.5,65.0,5.0
2016-03-20 08:00:00,22.1,25.5,65.0,5.0
2016-03-20 09:00:00,20.5,25.5,65.0,5.0
2016-03-20 10:00:00,20.8,29.5,90.0,6.0
2016-03-20 11:00:00,18.9,29.5,90.0,6.0
2016-03-20 12:00:00,16.9,29.5,90.0,6.0
2016-03-20 13:00:00,17.6,31.3,140.0,3.0
2016-03-20 14:00:00,19.1,31.3,140.0,3.0
2016-03-20 15:00:00,19.0,31.3,140.0,3.0
2016-03-20 16:00:00,18.7,29.8,230.0,4.0
2016-03-20 17:00:00,16.1,29.8,230.0,4.0
2016-03-20 18:00:00,19.0,29.8,230.0,4.0
2016-03-20 19:00:00,22.9,26.6,285.0,5.0
2016-03-20 20:00:00,29.3,26.6,285.0,5.0
2016-03-20 21:00:00,29.0,26.6,285.0,5.0
2016-03-20 22:00:00,26.4,25.3,330.0,4.0
2016-03-20 23:00:00,23.1,25.3,330.0,4.0
2016-03-21 00:00:00,18.3,25.3,330.0,4.0
2016-03-21 01:00:00,16.6,24.9,320.0,5.0
2016-03-21 02:00:00,17.1,24.9,320.0,5.0
2016-03-21 03:00:00,20.2,24.9,320.0,5.0
2016-03-21 04:00:00,21.5,24.3,340.0,4.0
2016-03-21 05:00:00,21.1,24.3,340.0,4.0
2016-03-21 06:00:00,22.8,24.3,340.0,4.0
2016-03-21 07:00:00,21.8,26.2,360.0,7.0
2016-03-21 08:00:00,20.1,26.2,360.0,7.0
2016-03-21 09:00:00,22.0,26.2,360.0,7.0
2016-03-21 10:00:00,21.8,30.4,10.0,6.0
2016-03-21 11:00:00,27.6,30.4,10.0,6.0
2016-03-21 12:00:00,33.8,30.4,10.0,6.0
2016-03-21 13:00:00,32.4,31.3,295.0,5.0
2016-03-21 14:00:00,22.1,31.3,295.0,5.0
2016-03-21 15:00:00,19.9,31.3,295.0,5.0
2016-03-21 16:00:00,20.4,30.3,295.0,8.0
2016-03-21 17:00:00,18.1,30.3,295.0,8.0
2016-03-21 18:00:00,21.4,30.3,295.0,8.0
2016-03-21 19:00:00,20.2,27.5,330.0,10.0
2016-03-21 20:00:00,27.7,27.5,330.0,10.0
2016-03-21 21:00:00,34.5,27.5,330.0,10.0
2016-03-21 22:00:00,34.3,26.2,350.0,15.0
2016-03-21 23:00:00,32.7,26.2,350.0,15.0
2016-03-22 00:00:00,31.4,26.2,350.0,15.0
2016-03-22 01:00:00,32.6,25.2,350.0,18.0
2016-03-22 02:00:00,30.4,25.2,350.0,18.0
2016-03-22 03:00:00,32.3,25.2,350.0,18.0
2016-03-22 04:00:00,32.7,24.2,350.0,18.0
2016-03-22 05:00:00,32.5,24.2,350.0,18.0
2016-03-22 06:00:00,31.6,24.2,350.0,18.0
2016-03-22 07:00:00,35.0,26.0,345.0,16.0
2016-03-22 08:00:00,35.6,26.0,345.0,16.0
2016-03-22 09:00:00,35.1,26.0,345.0,16.0
2016-03-22 10:00:00,35.2,31.0,15.0,12.0
2016-03-22 11:00:00,35.9,31.0,15.0,12.0
2016-03-22 12:00:00,40.7,31.0,15.0,12.0
2016-03-22 13:00:00,35.5,31.8,15.0,3.0
2016-03-22 14:00:00,34.7,31.8,15.0,3.0
2016-03-22 15:00:00,36.7,31.8,15.0,3.0
2016-03-22 16:00:00,34.8,30.9,255.0,3.0
2016-03-22 17:00:00,34.2,30.9,255.0,3.0
2016-03-22 18:00:00,34.8,30.9,255.0,3.0
2016-03-22 19:00:00,36.3,27.3,260.0,9.0
2016-03-22 20:00:00,39.7,27.3,260.0,9.0
2016-03-22 21:00:00,41.2,27.3,260.0,9.0
2016-03-22 22:00:00,40.3,25.1,305.0,5.0
2016-03-22 23:00:00,36.2,25.1,305.0,5.0
2016-03-23 00:00:00,33.5,25.1,305.0,5.0
2016-03-23 01:00:00,34.4,24.9,110.0,1.0
2016-03-23 02:00:00,37.7,24.9,110.0,1.0
2016-03-23 03:00:00,35.9,24.9,110.0,1.0
2016-03-23 04:00:00,26.8,23.7,65.0,2.0
2016-03-23 05:00:00,28.5,23.7,65.0,2.0
2016-03-23 06:00:00,36.6,23.7,65.0,2.0
